STRUC_Easting,STRUC_Northing,STRUC_Elevation,Leapfrog Dip,Leapfrog Dip Direction,Mute Flag
9316.74,5997.69,3734.54,50.004,85.561,M
9316.49,5997.65,3733.09,50.034,85.246,1
9315.87,5997.55,3729.56,48.996,55.097,M
9315.6,5997.5,3728.09,43.669,51.537,1
9315.3,5997.44,3726.4,29.55,62.596,1
9314.58,5997.29,3722.34,40.26,74.93,3
9314.32,5997.24,3720.87,45.357,74.357,3
9311.12,5996.44,3704.09,41.805,81.267,M
9284.86,6035.24,3862.19,61.312,47.52,M
9283.72,6035.77,3861.13,51.423,61.676,M
9281.43,6036.8,3858.99,46.14,73.327,M
9280.18,6037.34,3857.81,53.369,75.481,3
9277.75,6038.39,3855.53,46.928,66.019,1
9273.96,6040.02,3851.96,49.554,66.473,M
9272.46,6040.66,3850.56,43.322,64.376,M
9270.48,6041.52,3848.7,54.745,68.54,M
9268.37,6042.4,3846.68,37.537,71.193,M
9265.27,6043.68,3843.68,38.33,54.462,M
9338.22,6003.6,3909.42,53.814,160.488,M
9321.92,6008.95,3894.1,52.47,167.316,1
9297.79,6016.5,3871.07,72.155,126.644,3
9295.68,6017.15,3869.04,47.912,140.979,M
9293.79,6017.72,3867.2,35.263,140.934,1
9289.5,6019.01,3862.98,41.345,142.17,M
9286.09,6020.03,3859.62,29.221,129.248,3
9278.27,6022.37,3851.87,36.261,150.457,M
9273.97,6023.65,3847.53,34.226,132.052,M
9252.82,6029.65,3825.88,41.899,141.602,M
9249.97,6030.4,3822.89,43.884,141.044,3
9244.51,6031.84,3817.16,49.615,145.438,M
9236.2,6033.95,3808.41,39.321,133.152,M
9234.74,6034.31,3806.87,39.284,133.048,M
9229.62,6035.54,3801.46,45.436,139.45,M
9224.96,6036.68,3796.5,44.19,132.74,1
9220.01,6037.92,3791.21,53.578,142.235,1
9214.97,6039.18,3785.8,43.122,140.459,M
9213.42,6039.56,3784.14,37.023,149.703,3
9210.2,6040.33,3780.67,51.227,143.467,3
9207.75,6040.92,3778.03,51.185,143.385,1
9206.48,6041.22,3776.65,51.163,143.343,M
9197.71,6043.29,3767.14,46.388,145.955,1
9295.46,5938.21,3872.96,35.135,81.056,M
9288.21,5939.29,3867.08,42.499,58.776,3
9287.21,5939.44,3866.27,42.888,66.164,3
9282.58,5940.14,3862.52,46.979,66.065,3
9276.27,5941.18,3857.3,44.701,59.231,1
9270.23,5942.18,3852.31,54.941,68.316,1
9267.1,5942.7,3849.71,34.614,60.908,3
9265.46,5942.97,3848.34,36.922,77.933,M
9263.03,5943.37,3846.3,46.512,73.105,3
9259.57,5943.94,3843.4,44.719,73.259,M
9255.96,5944.54,3840.38,49.184,59.72,M
9253.38,5944.97,3838.21,47.877,72.907,3
9248.17,5945.82,3833.76,40.904,73.99,M
9241.59,5946.9,3828.1,45.841,65.688,1
9239.89,5947.18,3826.64,41.611,65.855,M
9238.69,5947.38,3825.61,41.604,65.85,1
9236.21,5947.78,3823.47,41.591,65.839,M
9232.19,5948.44,3820,43.676,65.614,1
9229.29,5948.92,3817.51,45.775,65.646,3
9227.42,5949.22,3815.89,49.136,72.853,M
9224.3,5949.73,3813.2,42.331,73.206,M
9220.99,5950.28,3810.35,47.433,72.648,1
9218.4,5950.7,3808.11,55.989,68.776,3
9214.83,5951.28,3805.03,45.724,72.628,3
9209.76,5952.14,3800.66,42.27,73.977,M
9375.09,5922.83,3826.78,56.174,88.848,M
9374.64,5922.66,3822.61,36.578,78.747,1
9374.35,5922.55,3820.03,41.414,86.932,M
9374.05,5922.43,3817.25,35.414,104.228,M
9373.8,5922.33,3814.96,36.986,73.225,M
9373.69,5922.29,3813.97,41.956,77.684,3
9373.48,5922.21,3812.08,39.919,56.512,M
9373.29,5922.14,3810.6,22.816,249.268,1
9373.18,5922.1,3809.7,37.129,77.578,3
9373.08,5922.06,3808.85,47.038,82.485,M
9372.76,5921.94,3806.23,37.153,81.829,1
9372.54,5921.85,3804.45,37.339,61.301,M
9372.47,5921.83,3803.95,32.451,70.339,3
